text,sura,lemmatized
بسم الله الرحمٰن الرحيم,سورة الفاتحة,"['بسم', 'الله', 'رحمن', 'رحيم']"
الحمد لله رب العٰلمين,سورة الفاتحة,"['حمد', 'الله', 'رب', 'علم']"
الرحمٰن الرحيم,سورة الفاتحة,"['رحمن', 'رحيم']"
مٰلك يوم الدين,سورة الفاتحة,"['ملك', 'يوم', 'دين']"
اياك نعبد واياك نستعين,سورة الفاتحة,"['اياك', 'عبد', 'اياك', 'استعان']"
اهدنا الصرٰط المستقيم,سورة الفاتحة,"['اهد', 'صراط', 'مستقيم']"
صرٰط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين,سورة الفاتحة,"['صراط', 'الذي', 'انعم', 'على', 'غير', 'مغضوب', 'على', 'لا', 'ضال']"
بسم الله الرحمٰن الرحيم,سورة البقرة,"['بسم', 'الله', 'رحمن', 'رحيم']"
الم,سورة البقرة,['الم']
ذٰلك الكتٰب لا ريب فيه هدى للمتقين,سورة البقرة,"['ذلك', 'كتاب', 'لا', 'ريب', 'في', 'هدى', 'متقي']"
الذين يؤمنون بالغيب ويقيمون الصلوٰة ومما رزقنٰهم ينفقون,سورة البقرة,"['الذي', 'آمن', 'غيب', 'أقام', 'صلو', 'من', 'رزقن', 'أنفق']"
والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخرة هم يوقنون,سورة البقرة,"['الذي', 'آمن', 'ما', 'انزل', 'يك', 'ما', 'انزل', 'من', 'قبل', 'اخر', 'هم', 'يوقن']"
اولٰئك علىٰ هدى من ربهم واولٰئك هم المفلحون,سورة البقرة,"['اولئك', 'على', 'هدى', 'من', 'رب', 'اولئك', 'هم', 'مفلح']"
ان الذين كفروا سواء عليهم ءانذرتهم ام لم تنذرهم لا يؤمنون,سورة البقرة,"['ان', 'الذي', 'كفر', 'سواء', 'على', 'ءانذرتهم', 'ام', 'لم', 'أنذر', 'لا', 'آمن']"
ختم الله علىٰ قلوبهم وعلىٰ سمعهم وعلىٰ ابصٰرهم غشٰوة ولهم عذاب عظيم,سورة البقرة,"['ختم', 'الله', 'على', 'قلب', 'على', 'سمع', 'على', 'ابصر', 'غشو', 'ل', 'عذاب', 'عظيم']"
ومن الناس من يقول ءامنا بالله وباليوم الاخر وما هم بمؤمنين,سورة البقرة,"['من', 'ناس', 'من', 'قال', 'ءامن', 'الله', 'يوم', 'اخر', 'ما', 'هم', 'مؤمن']"
يخٰدعون الله والذين ءامنوا وما يخدعون الا انفسهم وما يشعرون,سورة البقرة,"['خدع', 'الله', 'الذي', 'ءامن', 'ما', 'خدع', 'الا', 'انفس', 'ما', 'شعر']"
في قلوبهم مرض فزادهم الله مرضا ولهم عذاب اليم بما كانوا يكذبون,سورة البقرة,"['في', 'قلب', 'مرض', 'زاد', 'الله', 'مرض', 'ل', 'عذاب', 'اليم', 'ما', 'كان', 'كذب']"
واذا قيل لهم لا تفسدوا في الارض قالوا انما نحن مصلحون,سورة البقرة,"['اذ', 'قال', 'ل', 'لا', 'أفسد', 'في', 'ارض', 'قال', 'انما', 'نحن', 'مصالح']"
الا انهم هم المفسدون ولٰكن لا يشعرون,سورة البقرة,"['الا', 'ان', 'هم', 'مفسد', 'لكن', 'لا', 'شعر']"
واذا قيل لهم ءامنوا كما ءامن الناس قالوا انؤمن كما ءامن السفهاء الا انهم هم السفهاء ولٰكن لا يعلمون,سورة البقرة,"['اذ', 'قال', 'ل', 'ءامن', 'كما', 'ءامن', 'ناس', 'قال', 'انؤمن', 'كما', 'ءامن', 'سفيه', 'الا', 'ان', 'هم', 'سفيه', 'لكن', 'لا', 'علم']"
واذا لقوا الذين ءامنوا قالوا ءامنا واذا خلوا الىٰ شيٰطينهم قالوا انا معكم انما نحن مستهزءون,سورة البقرة,"['اذ', 'لقي', 'الذي', 'ءامن', 'قال', 'ءامن', 'اذ', 'خلو', 'الى', 'شيطينهم', 'قال', 'انا', 'مع', 'انما', 'نحن', 'مستهزءون']"
الله يستهزئ بهم ويمدهم في طغيٰنهم يعمهون,سورة البقرة,"['الله', 'استهزأ', 'ب', 'مد', 'في', 'طغين', 'عمه']"
اولٰئك الذين اشتروا الضلٰلة بالهدىٰ فما ربحت تجٰرتهم وما كانوا مهتدين,سورة البقرة,"['اولئك', 'الذي', 'اشترى', 'ضلل', 'هدى', 'ما', 'ربح', 'جر', 'ما', 'كان', 'مهتدي']"
مثلهم كمثل الذي استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمٰت لا يبصرون,سورة البقرة,"['مثل', 'مثل', 'الذي', 'استوقد', 'نار', 'لما', 'اضاء', 'ما', 'حول', 'ذهب', 'الله', 'نور', 'ترك', 'في', 'ظلم', 'لا', 'أبصر']"
صم بكم عمي فهم لا يرجعون,سورة البقرة,"['أصم', 'ب', 'عم', 'هم', 'لا', 'رجع']"
او كصيب من السماء فيه ظلمٰت ورعد وبرق يجعلون اصٰبعهم في ءاذانهم من الصوٰعق حذر الموت والله محيط بالكٰفرين,سورة البقرة,"['او', 'صيب', 'من', 'سماء', 'في', 'ظلم', 'رعد', 'برق', 'جعل', 'اصبع', 'في', 'ءاذانهم', 'من', 'صوعق', 'حذر', 'موت', 'الله', 'محيط', 'كفر']"
يكاد البرق يخطف ابصٰرهم كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وابصٰرهم ان الله علىٰ كل شيء قدير,سورة البقرة,"['كاد', 'برق', 'خطف', 'ابصر', 'كل', 'اضاء', 'ل', 'مشى', 'في', 'اذ', 'اظلم', 'على', 'قام', 'لو', 'شاء', 'الله', 'ذهب', 'سمع', 'ابصر', 'ان', 'الله', 'على', 'كل', 'شيء', 'قدير']"
يٰايها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,سورة البقرة,"['ياي', 'ناس', 'اعبد', 'رب', 'الذي', 'خلق', 'الذي', 'من', 'قبل', 'لعل', 'اتقى']"
الذي جعل لكم الارض فرٰشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرٰت رزقا لكم فلا تجعلوا لله اندادا وانتم تعلمون,سورة البقرة,"['الذي', 'جعل', 'ل', 'ارض', 'فرش', 'سماء', 'بناء', 'انزل', 'من', 'سماء', 'ماء', 'اخرج', 'ب', 'من', 'ثمرت', 'رزق', 'ل', 'لا', 'جعل', 'الله', 'انداد', 'انتم', 'علم']"
وان كنتم في ريب مما نزلنا علىٰ عبدنا فاتوا بسورة من مثله وادعوا شهداءكم من دون الله ان كنتم صٰدقين,سورة البقرة,"['وان', 'كان', 'في', 'ريب', 'من', 'نزل', 'على', 'عبد', 'فات', 'سورة', 'من', 'مثل', 'ادعى', 'شهيد', 'من', 'دون', 'الله', 'ان', 'كان', 'صدق']"
فان لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة اعدت للكٰفرين,سورة البقرة,"['فان', 'لم', 'فعل', 'لن', 'فعل', 'اتقى', 'نار', 'الذي', 'وقود', 'ناس', 'حجر', 'اعد', 'كفر']"
قالوا ءامنا برب العٰلمين,سورة الاعراف,"['قال', 'ءامن', 'رب', 'علم']"
وبشر الذين ءامنوا وعملوا الصٰلحٰت ان لهم جنٰت تجري من تحتها الانهٰر كلما رزقوا منها من ثمرة رزقا قالوا هٰذا الذي رزقنا من قبل واتوا به متشٰبها ولهم فيها ازوٰج مطهرة وهم فيها خٰلدون,سورة البقرة,"['بشر', 'الذي', 'ءامن', 'عمل', 'صلح', 'ان', 'ل', 'جنى', 'جرى', 'من', 'تحت', 'انهر', 'كل', 'رزق', 'من', 'من', 'ثمر', 'رزق', 'قال', 'هذا', 'الذي', 'رزق', 'من', 'قبل', 'وات', 'ب', 'متشب', 'ل', 'في', 'ازوج', 'مطهر', 'هم', 'في', 'خلدون']"
ان الله لا يستحي ان يضرب مثلا ما بعوضة فما فوقها فاما الذين ءامنوا فيعلمون انه الحق من ربهم واما الذين كفروا فيقولون ماذا اراد الله بهٰذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به الا الفٰسقين,سورة البقرة,"['ان', 'الله', 'لا', 'استحيى', 'ان', 'ضرب', 'مثل', 'ما', 'بعوض', 'ما', 'فوق', 'اما', 'الذي', 'ءامن', 'علم', 'ان', 'حق', 'من', 'رب', 'اما', 'الذي', 'كفر', 'قال', 'ماذا', 'اراد', 'الله', 'هذا', 'مثل', 'ضل', 'ب', 'كثير', 'هدى', 'ب', 'كثير', 'ما', 'ضل', 'ب', 'الا', 'فسق']"
الذين ينقضون عهد الله من بعد ميثٰقه ويقطعون ما امر الله به ان يوصل ويفسدون في الارض اولٰئك هم الخٰسرون,سورة البقرة,"['الذي', 'نقض', 'عهد', 'الله', 'من', 'بعد', 'ميثق', 'قطع', 'ما', 'امر', 'الله', 'ب', 'ان', 'وصل', 'أفسد', 'في', 'ارض', 'اولئك', 'هم', 'خسر']"
كيف تكفرون بالله وكنتم اموٰتا فاحيٰكم ثم يميتكم ثم يحييكم ثم اليه ترجعون,سورة البقرة,"['كيف', 'كفر', 'الله', 'كان', 'اموت', 'فاح', 'ثم', 'أمات', 'ثم', 'أحيى', 'ثم', 'الي', 'أرجع']"
هو الذي خلق لكم ما في الارض جميعا ثم استوىٰ الى السماء فسوىٰهن سبع سمٰوٰت وهو بكل شيء عليم,سورة البقرة,"['هو', 'الذي', 'خلق', 'ل', 'ما', 'في', 'ارض', 'جميع', 'ثم', 'استوى', 'الى', 'سماء', 'فسوىهن', 'سبع', 'سمت', 'هو', 'كل', 'شيء', 'عليم']"
واذ قال ربك للملٰئكة اني جاعل في الارض خليفة قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال اني اعلم ما لا تعلمون,سورة البقرة,"['اذ', 'قال', 'رب', 'ملئك', 'اني', 'جاعل', 'في', 'ارض', 'خليفة', 'قال', 'اتجعل', 'في', 'من', 'أفسد', 'في', 'سفك', 'دم', 'نحن', 'نسبح', 'حمد', 'نقدس', 'ل', 'قال', 'اني', 'اعلم', 'ما', 'لا', 'علم']"
وعلم ءادم الاسماء كلها ثم عرضهم على الملٰئكة فقال انبوني باسماء هٰؤلاء ان كنتم صٰدقين,سورة البقرة,"['علم', 'ءادم', 'اسماء', 'كل', 'ثم', 'عرض', 'على', 'ملئك', 'قال', 'انبوني', 'اسماء', 'هذا', 'ان', 'كان', 'صدق']"
قالوا سبحٰنك لا علم لنا الا ما علمتنا انك انت العليم الحكيم,سورة البقرة,"['قال', 'سبحنك', 'لا', 'علم', 'ل', 'الا', 'ما', 'علم', 'انك', 'انت', 'عليم', 'حكيم']"
قال يٰادم انبئهم باسمائهم فلما انباهم باسمائهم قال الم اقل لكم اني اعلم غيب السمٰوٰت والارض واعلم ما تبدون وما كنتم تكتمون,سورة البقرة,"['قال', 'يادم', 'انبئهم', 'اسمائ', 'لما', 'انبا', 'اسمائ', 'قال', 'الم', 'اقل', 'ل', 'اني', 'اعلم', 'غيب', 'سمت', 'ارض', 'اعلم', 'ما', 'أبدى', 'ما', 'كان', 'كتم']"
واذ قلنا للملٰئكة اسجدوا لادم فسجدوا الا ابليس ابىٰ واستكبر وكان من الكٰفرين,سورة البقرة,"['اذ', 'قال', 'ملئك', 'اسجد', 'ادم', 'سجد', 'الا', 'ابليس', 'ابى', 'استكبر', 'كان', 'من', 'كفر']"
ابلغكم رسٰلٰت ربي وانصح لكم واعلم من الله ما لا تعلمون,سورة الاعراف,"['ابلغ', 'رسول', 'رب', 'انصح', 'ل', 'اعلم', 'من', 'الله', 'ما', 'لا', 'علم']"
