#الكلمة;نوعها;صنف;العطف;التعريف;الجر;الإضافة;الاستفهام;التصريف;لام القسم;معرف;ملاحظة
بيد;حرف;استثناء;ع;*;*;*;*;*;*;*;-
سوى;اسم;استثناء;ع;*;*;*;*;*;*;*;-
غير;اسم;استثناء;ع;*;ج;ض;س;*;ل;*;-
لاسيما;حرف;استثناء;ع;*;*;*;*;*;*;*;-
متى;اسم;اسم استفهام/ظرف زمان;ع;*;*;*;*;*;*;*;-
أنّى;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
أيّ;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
ّأيّان;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
أين;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
بكم;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
بما;اسم;اسم الاستفهام;ع;*;*;*;س;*;*;*;-
بماذا;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
بمن;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
كم;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
كيف;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
ما;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
ماذا;اسم;اسم الاستفهام;ع;*;*;*;س;*;*;*;-
متى;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
مما;اسم;اسم الاستفهام;ع;*;*;*;س;*;*;*;-
ممن;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
من;اسم;اسم الاستفهام;ع;*;*;*;*;*;*;*;-
أنّى;اسم;اسم الشرط;ع;*;*;*;*;*;*;*;-
أيّ;اسم;اسم الشرط;ع;*;*;*;*;*;*;*;-
ّأيّان;اسم;اسم الشرط;ع;*;*;*;*;*;*;*;-
أين;اسم;اسم الشرط;ع;*;*;*;*;*;*;*;-
أينما;اسم;اسم الشرط;ع;*;*;*;*;*;*;*;-
حيثما;اسم;اسم الشرط;ع;*;*;*;*;*;*;*;-
كيفما;اسم;اسم الشرط;ع;*;*;*;*;*;*;*;-
ما;اسم;اسم الشرط;ع;*;*;*;*;*;*;*;-
متى;اسم;اسم الشرط;ع;*;*;*;*;*;*;*;-
من;اسم;اسم الشرط;ع;*;*;*;*;*;*;*;-
مهما;اسم;اسم الشرط;ع;*;*;*;س;*;*;*;-
أولئك;اسم;اسم إشارة;ع;*;ج;*;س;*;*;*;-
أولئكم;اسم;اسم إشارة;ع;*;ج;*;س;*;*;*;-
أولاء;اسم;اسم إشارة;ع;*;ج;*;س;*;*;*;-
أولالك;اسم;اسم إشارة;ع;*;ج;*;س;*;*;*;-
تانِ;اسم;اسم إشارة;ع;*;*;*;*;*;*;*;-
تانِك;اسم;اسم إشارة;ع;*;ج;*;*;*;*;*;-
تلك;اسم;اسم إشارة;ع;*;ج;*;س;*;*;*;-
تلكم;اسم;اسم إشارة;ع;*;ج;*;س;*;*;*;-
تلكما;اسم;اسم إشارة;ع;*;ج;*;س;*;*;*;-
تِه;اسم;اسم إشارة;ع;*;ج;*;*;*;*;*;-
تِي;اسم;اسم إشارة;ع;*;ج;*;*;*;*;*;-
